pipeline,model,accuracy,precision,recall,f1
Pipeline A (Structural),rf,1.0,1.0,1.0,1.0
Pipeline A (Structural),xgb,0.9956331877729258,1.0,0.9907407407407407,0.9953488372093023
Pipeline B (Statistical),rf,0.982532751091703,0.9905660377358491,0.9722222222222222,0.9813084112149533
Pipeline B (Statistical),xgb,0.982532751091703,0.9814814814814815,0.9814814814814815,0.9814814814814815
Pipeline C (Hybrid),rf,1.0,1.0,1.0,1.0
Pipeline C (Hybrid),xgb,0.9956331877729258,1.0,0.9907407407407407,0.9953488372093023
