a_e_type,a_e_machine,a_num_sections,a_num_segments,a_sections_executable,a_sections_writable,a_segments_executable,a_num_symbols,a_num_functions,a_num_undefined_symbols,a_num_libraries_needed,a_file_size,b_global_entropy,b_entropy_mean,b_entropy_std,b_null_byte_freq,b_printable_freq,b_high_byte_freq,b_ngram_2_entropy,b_ngram_3_entropy,b_header_entropy,b_text_section_entropy,c_code_to_data_ratio,c_code_to_file_ratio,c_header_to_file_ratio,c_section_entropy_mean,c_section_entropy_max,c_section_entropy_std,c_high_entropy_section_count,c_has_nx,c_has_pie,c_has_relro,c_suspicious_section_count,c_empty_section_name_count,c_suspicious_import_count,c_num_strings,c_avg_string_length,c_url_string_count,c_ip_string_count,label
3,62,30,13,6,6,1,81,77,81,8,26952,4.045473610323933,2.501060331200815,1.8963633145759387,0.537882160878599,0.24094686850697536,0.1494879786286732,6.158296054207144,7.4126198058569415,2.2652890595894988,5.8793346171103025,1.2099322799097065,0.1590976550905313,0.029385574354407838,3.003350746557465,5.8793346171103025,1.4614190033384116,0,1,1,1,0,1,2,243,17.905349794238685,0,0,0
3,62,31,13,6,7,1,161,151,155,2,328808,6.224213683055826,4.494862836788843,1.4958037618889748,0.21046020778083258,0.2995030534536873,0.32115702780954236,10.616728683844766,12.975002741427026,2.7191373146147217,6.359472793500734,2.1048822997330507,0.5803265127369164,0.002408700518235566,3.336190278136524,6.359472793500734,1.5746988631539103,0,1,1,1,0,1,1,2195,14.90387243735763,0,0,0
3,62,30,13,6,6,1,54,47,54,1,35120,4.881050822961512,3.511826294902022,2.136968163975047,0.4201025056947608,0.19675398633257404,0.29023348519362185,7.688720888198686,9.214522929793485,2.251310577522491,6.096694791222105,12.188652482269504,0.4893507972665148,0.02255125284738041,3.0367792029571263,6.096694791222105,1.5749360107862374,0,1,1,1,0,1,3,189,12.402116402116402,0,0,0
3,62,31,13,6,7,1,64,51,64,1,35336,4.781249022689654,3.2556131123100216,2.104915835535964,0.44020262621688927,0.21564410233189948,0.2600747113425402,7.46384303680366,8.917742007274148,2.2735473919717357,6.125127791408342,4.614450127877238,0.4084786053882726,0.022413402762055695,2.9608710829923517,6.125127791408342,1.6014755293143113,0,1,1,1,0,1,1,204,14.71078431372549,3,0,0
3,62,31,13,6,7,1,959,952,956,7,808552,5.31236068105999,3.6349122012293287,1.78778220788859,0.3625184280046305,0.35078139686748655,0.18818455708476386,8.667276119229175,10.816264066527127,2.870552084136247,6.295164369371324,1.286604281370696,0.3098217554344062,0.0009795288367352997,3.389783280420011,6.295164369371324,1.4992330183114224,0,1,1,1,0,1,91,4671,38.63134232498394,3,1,0
2,62,32,10,4,9,1,67,49,59,5,27408,4.903325808276092,3.408183276595084,2.04523995549088,0.4361500291885581,0.2947679509632224,0.17560566258026852,7.597928423463358,8.980208099471225,2.218110698347908,6.235938864560819,6.8494533221194285,0.2971395213076474,0.02276707530647986,2.944449182793505,6.235938864560819,1.5789987771872582,0,1,0,1,0,1,0,209,21.215311004784688,0,0,0
3,62,30,13,6,6,1,27,18,27,2,14656,2.219768464732835,1.4197679378805501,1.7039340968096577,0.7845933406113537,0.10685043668122271,0.05376637554585153,3.3854443074922593,4.151500943116878,2.2173748396374764,5.685490612088615,3.73972602739726,0.05588155021834061,0.05403930131004367,2.902706227030571,5.685490612088615,1.5033030384779187,0,1,1,1,0,1,0,77,12.376623376623376,0,0,0
2,62,32,10,4,9,1,247,160,180,5,409080,6.255994724472839,4.924740164358394,1.0521178564504197,0.15492568690720643,0.337828786545419,0.3886428082526645,10.335603633153198,12.658119308990848,2.322569879246016,6.222723000133786,24.13655589123867,0.7811870538769923,0.0015253740099735993,3.1091862289167236,6.222723000133786,1.6610580587818446,0,1,0,1,0,1,1,2979,12.896945283652233,0,0,0
3,62,30,13,6,7,1,50,42,50,1,22760,3.3136543685165925,2.06583920844158,1.9644844521446245,0.6447275922671353,0.1866432337434095,0.10834797891036907,5.016444070917925,6.018472537794925,2.279919617459541,5.971715809758533,1.405844155844156,0.13317223198594025,0.03479789103690686,2.822935692500063,5.971715809758533,1.5009799212137145,0,1,1,1,0,1,0,154,17.772727272727273,0,0,0
3,62,30,13,6,6,1,11,7,11,2,14648,2.117643133225914,1.3499302511606854,1.7698217244971655,0.799016930638995,0.096600218459858,0.05734571272528673,3.1670568003977517,3.8215612551819103,2.242463620023191,5.894756243680178,3.434659090909091,0.08253686510103768,0.05406881485527035,2.8599015594661417,5.894756243680178,1.5167661197123279,0,1,1,1,0,1,0,60,14.5,0,0,0
3,62,56,13,6,7,1,4585,4552,2611,48,7992816,7.617487725140502,6.12575589679707,1.4075611218355855,0.07278886440023141,0.4278313175231358,0.3879468762949128,14.345026446698819,18.886703312516733,2.908953272369832,6.34661690636601,5.048409960587016,0.15416669168913685,9.908898190575137e-05,4.4328901684787345,7.963216744396322,1.5356964037719745,3,1,1,1,0,1,196,79389,18.752459408734207,357,1,0
3,62,31,13,6,7,1,192,174,189,6,147120,5.857800636689784,3.742660609567824,1.6150796328245907,0.28189233278955955,0.25313349646547034,0.26462751495377923,9.970956697275462,11.845891032765557,2.6236833319082176,6.049651610443464,0.9603409090909091,0.3446574225122349,0.005383360522022838,3.314016058599709,6.322253513934196,1.5508025580776228,0,1,1,1,0,1,4,748,14.754010695187166,1,0,0
3,62,31,13,6,7,1,40,33,40,1,18816,3.3537611688243962,2.1965649597284216,2.0471383299046324,0.6465773809523809,0.16555059523809523,0.11814413265306123,5.100589034842063,6.126167266734443,2.215547057198725,5.951190407072823,3.20990099009901,0.1723001700680272,0.042091836734693876,2.901136168598912,5.951190407072823,1.5514955944291244,0,1,1,1,0,1,0,127,13.992125984251969,0,0,0
